 capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
0 3 7q0g run-bound-Para-Epi-mpi-50-50 1 5 10 18 19 1 5 10 16 16 1 5 10 14 14
1 3 7q0g run-bound-CDR-EpiVag-mpi-50-50 1 2 2 2 2 1 2 2 2 2 1 2 2 2 2
2 3 7q0g run-bound-CDR-EpiVag-AA-mpi-50-50 1 2 2 3 5 1 2 2 2 2 1 2 2 2 2
3 3 7q0i run-bound-Para-Epi-mpi-50-50 1 5 10 20 30 1 5 10 20 28 1 5 10 20 28
4 3 7q0i run-bound-CDR-EpiVag-mpi-50-50 1 5 10 15 16 1 5 10 10 10 1 5 9 9 9
5 3 7q0i run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 10 18 21 1 5 10 14 14 1 4 7 7 7
6 3 7pi7 run-bound-Para-Epi-mpi-50-50 1 5 10 20 30 1 5 10 20 22 1 5 10 20 21
7 3 7pi7 run-bound-CDR-EpiVag-mpi-50-50 1 5 8 12 17 1 5 7 7 7 1 5 7 7 7
8 3 7pi7 run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 10 17 21 1 5 8 8 8 1 5 8 8 8
9 3 7f7e run-bound-Para-Epi-mpi-50-50 1 5 10 20 40 1 5 10 20 39 1 5 10 20 37
10 3 7f7e run-bound-CDR-EpiVag-mpi-50-50 1 5 9 12 12 1 5 9 12 12 0 0 1 1 1
11 3 7f7e run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 10 11 11 1 5 10 11 11 0 0 0 0 0
12 3 7n4i run-bound-Para-Epi-mpi-50-50 1 5 10 20 30 1 4 9 18 28 1 4 8 15 20
13 3 7n4i run-bound-CDR-EpiVag-mpi-50-50 1 2 4 4 4 1 2 3 3 3 1 1 2 2 2
14 3 7n4i run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 9 12 13 0 1 2 4 4 0 0 1 1 1
15 3 7mdj run-bound-Para-Epi-mpi-50-50 1 5 10 20 34 1 5 10 20 32 1 5 10 19 26
16 3 7mdj run-bound-CDR-EpiVag-mpi-50-50 1 5 10 19 29 1 5 9 15 17 1 5 9 14 14
17 3 7mdj run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 10 18 25 1 4 9 15 17 1 2 6 12 14
