,pdb,antigen,model_name,protocol,stage,topn,topn_dockq
117,7e5o,alphafold2,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.555
118,7e5o,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,1,0.333
119,7e5o,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,10,0.741
120,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,1,0.628
121,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,10,0.665
122,7e5o,alphafold2,AlphaFold2,Para-Epi,Rigid-body,1,0.522
123,7e5o,alphafold2,AlphaFold2,Para-Epi,Rigid-body,10,0.562
124,7e5o,alphafold2,ABlooper,Para-Epi,Rigid-body,1,0.522
125,7e5o,alphafold2,ABlooper,Para-Epi,Rigid-body,10,0.548
126,7e5o,alphafold2,IgFold,Para-Epi,Rigid-body,1,0.558
127,7e5o,alphafold2,IgFold,Para-Epi,Rigid-body,10,0.652
128,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Refinement,1,0.716
129,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Refinement,10,0.77
130,7e5o,alphafold2,AlphaFold2,Para-Epi,Refinement,1,0.708
131,7e5o,alphafold2,AlphaFold2,Para-Epi,Refinement,10,0.76
132,7e5o,alphafold2,ABlooper,Para-Epi,Refinement,1,0.549
133,7e5o,alphafold2,ABlooper,Para-Epi,Refinement,10,0.636
134,7e5o,alphafold2,IgFold,Para-Epi,Refinement,1,0.726
135,7e5o,alphafold2,IgFold,Para-Epi,Refinement,10,0.765
136,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Clustering,1,0.716
137,7e5o,alphafold2,ABodyBuilder2,Para-Epi,Clustering,10,0.77
138,7e5o,alphafold2,AlphaFold2,Para-Epi,Clustering,1,0.708
139,7e5o,alphafold2,AlphaFold2,Para-Epi,Clustering,10,0.76
140,7e5o,alphafold2,ABlooper,Para-Epi,Clustering,1,0.549
141,7e5o,alphafold2,ABlooper,Para-Epi,Clustering,10,0.636
142,7e5o,alphafold2,IgFold,Para-Epi,Clustering,1,0.726
143,7e5o,alphafold2,IgFold,Para-Epi,Clustering,10,0.765
144,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.055
145,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.574
146,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.043
147,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.498
148,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.062
149,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.488
150,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.058
151,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.432
152,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,1,0.096
153,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,10,0.593
154,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,1,0.52
155,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,10,0.52
156,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,1,0.065
157,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,10,0.546
158,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Refinement,1,0.054
159,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Refinement,10,0.45
160,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,1,0.211
161,7e5o,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,10,0.211
162,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,1,0.056
163,7e5o,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,10,0.068
164,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,1,0.065
165,7e5o,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.264
166,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Clustering,1,0.054
167,7e5o,experimental,IgFold,CDR-VagueEpi-AA,Clustering,10,0.231
168,7e5o,experimental,ABodyBuilder2,Para-Epi,Rigid-body,1,0.574
169,7e5o,experimental,ABodyBuilder2,Para-Epi,Rigid-body,10,0.578
170,7e5o,experimental,AlphaFold2,Para-Epi,Rigid-body,1,0.034
171,7e5o,experimental,AlphaFold2,Para-Epi,Rigid-body,10,0.645
172,7e5o,experimental,ABlooper,Para-Epi,Rigid-body,1,0.16
173,7e5o,experimental,ABlooper,Para-Epi,Rigid-body,10,0.337
174,7e5o,experimental,IgFold,Para-Epi,Rigid-body,1,0.449
175,7e5o,experimental,IgFold,Para-Epi,Rigid-body,10,0.449
176,7e5o,experimental,ABodyBuilder2,Para-Epi,Refinement,1,0.733
177,7e5o,experimental,ABodyBuilder2,Para-Epi,Refinement,10,0.797
178,7e5o,experimental,AlphaFold2,Para-Epi,Refinement,1,0.741
179,7e5o,experimental,AlphaFold2,Para-Epi,Refinement,10,0.77
180,7e5o,experimental,ABlooper,Para-Epi,Refinement,1,0.519
181,7e5o,experimental,ABlooper,Para-Epi,Refinement,10,0.669
182,7e5o,experimental,IgFold,Para-Epi,Refinement,1,0.526
183,7e5o,experimental,IgFold,Para-Epi,Refinement,10,0.801
184,7e5o,experimental,ABodyBuilder2,Para-Epi,Clustering,1,0.733
185,7e5o,experimental,ABodyBuilder2,Para-Epi,Clustering,10,0.797
186,7e5o,experimental,AlphaFold2,Para-Epi,Clustering,1,0.741
187,7e5o,experimental,AlphaFold2,Para-Epi,Clustering,10,0.77
188,7e5o,experimental,ABlooper,Para-Epi,Clustering,1,0.519
189,7e5o,experimental,ABlooper,Para-Epi,Clustering,10,0.669
190,7e5o,experimental,IgFold,Para-Epi,Clustering,1,0.526
191,7e5o,experimental,IgFold,Para-Epi,Clustering,10,0.801
192,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.268
193,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.361
194,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.035
195,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.123
196,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.033
197,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.077
198,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.063
199,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.459
200,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,1,0.494
201,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,10,0.53
202,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Refinement,1,0.064
203,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Refinement,10,0.665
204,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Refinement,1,0.041
205,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Refinement,10,0.436
206,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Refinement,1,0.558
207,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Refinement,10,0.558
208,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,1,0.494
209,7k7h,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,10,0.53
210,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Clustering,1,0.064
211,7k7h,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Clustering,10,0.665
212,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Clustering,1,0.041
213,7k7h,alphafold2,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.436
214,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,1,0.558
215,7k7h,alphafold2,IgFold,CDR-VagueEpi-AA,Clustering,10,0.558
216,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,1,0.365
217,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Rigid-body,10,0.39
218,7k7h,alphafold2,AlphaFold2,Para-Epi,Rigid-body,1,0.441
219,7k7h,alphafold2,AlphaFold2,Para-Epi,Rigid-body,10,0.443
220,7k7h,alphafold2,ABlooper,Para-Epi,Rigid-body,1,0.033
221,7k7h,alphafold2,ABlooper,Para-Epi,Rigid-body,10,0.405
222,7k7h,alphafold2,IgFold,Para-Epi,Rigid-body,1,0.326
223,7k7h,alphafold2,IgFold,Para-Epi,Rigid-body,10,0.451
224,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Refinement,1,0.537
225,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Refinement,10,0.642
226,7k7h,alphafold2,AlphaFold2,Para-Epi,Refinement,1,0.497
227,7k7h,alphafold2,AlphaFold2,Para-Epi,Refinement,10,0.599
228,7k7h,alphafold2,ABlooper,Para-Epi,Refinement,1,0.04
229,7k7h,alphafold2,ABlooper,Para-Epi,Refinement,10,0.561
230,7k7h,alphafold2,IgFold,Para-Epi,Refinement,1,0.64
231,7k7h,alphafold2,IgFold,Para-Epi,Refinement,10,0.64
232,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Clustering,1,0.537
233,7k7h,alphafold2,ABodyBuilder2,Para-Epi,Clustering,10,0.642
234,7k7h,alphafold2,AlphaFold2,Para-Epi,Clustering,1,0.497
235,7k7h,alphafold2,AlphaFold2,Para-Epi,Clustering,10,0.599
236,7k7h,alphafold2,ABlooper,Para-Epi,Clustering,1,0.04
237,7k7h,alphafold2,ABlooper,Para-Epi,Clustering,10,0.579
238,7k7h,alphafold2,IgFold,Para-Epi,Clustering,1,0.64
239,7k7h,alphafold2,IgFold,Para-Epi,Clustering,10,0.64
240,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.521
241,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.531
242,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.148
243,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.257
244,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.027
245,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.431
246,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.354
247,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.615
248,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,1,0.489
249,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,10,0.489
250,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,1,0.319
251,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,10,0.333
252,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,1,0.271
253,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,10,0.441
254,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Refinement,1,0.484
255,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Refinement,10,0.749
256,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,1,0.489
257,7k7h,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,10,0.489
258,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,1,0.319
259,7k7h,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,10,0.333
260,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,1,0.271
261,7k7h,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.441
262,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Clustering,1,0.484
263,7k7h,experimental,IgFold,CDR-VagueEpi-AA,Clustering,10,0.749
264,7k7h,experimental,ABodyBuilder2,Para-Epi,Rigid-body,1,0.783
265,7k7h,experimental,ABodyBuilder2,Para-Epi,Rigid-body,10,0.783
266,7k7h,experimental,AlphaFold2,Para-Epi,Rigid-body,1,0.042
267,7k7h,experimental,AlphaFold2,Para-Epi,Rigid-body,10,0.352
268,7k7h,experimental,ABlooper,Para-Epi,Rigid-body,1,0.382
269,7k7h,experimental,ABlooper,Para-Epi,Rigid-body,10,0.463
270,7k7h,experimental,IgFold,Para-Epi,Rigid-body,1,0.44
271,7k7h,experimental,IgFold,Para-Epi,Rigid-body,10,0.657
272,7k7h,experimental,ABodyBuilder2,Para-Epi,Refinement,1,0.724
273,7k7h,experimental,ABodyBuilder2,Para-Epi,Refinement,10,0.879
274,7k7h,experimental,AlphaFold2,Para-Epi,Refinement,1,0.239
275,7k7h,experimental,AlphaFold2,Para-Epi,Refinement,10,0.499
276,7k7h,experimental,ABlooper,Para-Epi,Refinement,1,0.04
277,7k7h,experimental,ABlooper,Para-Epi,Refinement,10,0.619
278,7k7h,experimental,IgFold,Para-Epi,Refinement,1,0.744
279,7k7h,experimental,IgFold,Para-Epi,Refinement,10,0.783
280,7k7h,experimental,ABodyBuilder2,Para-Epi,Clustering,1,0.724
281,7k7h,experimental,ABodyBuilder2,Para-Epi,Clustering,10,0.879
282,7k7h,experimental,AlphaFold2,Para-Epi,Clustering,1,0.487
283,7k7h,experimental,AlphaFold2,Para-Epi,Clustering,10,0.499
284,7k7h,experimental,ABlooper,Para-Epi,Clustering,1,0.433
285,7k7h,experimental,ABlooper,Para-Epi,Clustering,10,0.623
286,7k7h,experimental,IgFold,Para-Epi,Clustering,1,0.744
287,7k7h,experimental,IgFold,Para-Epi,Clustering,10,0.783
288,7si0,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.032
