,pdb,antigen,model_name,protocol,stage,topn,topn_dockq
334,7si0,alphafold2,IgFold,Para-Epi,Clustering,1,0.193
335,7si0,alphafold2,IgFold,Para-Epi,Clustering,10,0.265
336,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.012
337,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.072
338,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.076
339,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.13
340,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.089
341,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.117
342,7si0,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.087
343,7si0,experimental,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.094
344,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,1,0.011
345,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Refinement,10,0.096
346,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,1,0.1
347,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Refinement,10,0.135
348,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,1,0.149
349,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Refinement,10,0.154
350,7si0,experimental,IgFold,CDR-VagueEpi-AA,Refinement,1,0.044
351,7si0,experimental,IgFold,CDR-VagueEpi-AA,Refinement,10,0.11
352,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,1,0.012
353,7si0,experimental,ABodyBuilder2,CDR-VagueEpi-AA,Clustering,10,0.117
354,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,1,0.1
355,7si0,experimental,AlphaFold2,CDR-VagueEpi-AA,Clustering,10,0.135
356,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,1,0.149
357,7si0,experimental,ABlooper,CDR-VagueEpi-AA,Clustering,10,0.154
358,7si0,experimental,IgFold,CDR-VagueEpi-AA,Clustering,1,0.044
359,7si0,experimental,IgFold,CDR-VagueEpi-AA,Clustering,10,0.11
360,7si0,experimental,ABodyBuilder2,Para-Epi,Rigid-body,1,0.279
361,7si0,experimental,ABodyBuilder2,Para-Epi,Rigid-body,10,0.283
362,7si0,experimental,AlphaFold2,Para-Epi,Rigid-body,1,0.264
363,7si0,experimental,AlphaFold2,Para-Epi,Rigid-body,10,0.341
364,7si0,experimental,ABlooper,Para-Epi,Rigid-body,1,0.196
365,7si0,experimental,ABlooper,Para-Epi,Rigid-body,10,0.364
366,7si0,experimental,IgFold,Para-Epi,Rigid-body,1,0.076
367,7si0,experimental,IgFold,Para-Epi,Rigid-body,10,0.277
368,7si0,experimental,ABodyBuilder2,Para-Epi,Refinement,1,0.054
369,7si0,experimental,ABodyBuilder2,Para-Epi,Refinement,10,0.39
370,7si0,experimental,AlphaFold2,Para-Epi,Refinement,1,0.257
371,7si0,experimental,AlphaFold2,Para-Epi,Refinement,10,0.412
372,7si0,experimental,ABlooper,Para-Epi,Refinement,1,0.04
373,7si0,experimental,ABlooper,Para-Epi,Refinement,10,0.45
374,7si0,experimental,IgFold,Para-Epi,Refinement,1,0.223
375,7si0,experimental,IgFold,Para-Epi,Refinement,10,0.33
376,7si0,experimental,ABodyBuilder2,Para-Epi,Clustering,1,0.152
377,7si0,experimental,ABodyBuilder2,Para-Epi,Clustering,10,0.39
378,7si0,experimental,AlphaFold2,Para-Epi,Clustering,1,0.257
379,7si0,experimental,AlphaFold2,Para-Epi,Clustering,10,0.412
380,7si0,experimental,ABlooper,Para-Epi,Clustering,1,0.04
381,7si0,experimental,ABlooper,Para-Epi,Clustering,10,0.45
382,7si0,experimental,IgFold,Para-Epi,Clustering,1,0.223
383,7si0,experimental,IgFold,Para-Epi,Clustering,10,0.33
384,7shu,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,1,0.038
385,7shu,alphafold2,ABodyBuilder2,CDR-VagueEpi-AA,Rigid-body,10,0.038
386,7shu,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,1,0.079
387,7shu,alphafold2,AlphaFold2,CDR-VagueEpi-AA,Rigid-body,10,0.09
388,7shu,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,1,0.085
389,7shu,alphafold2,ABlooper,CDR-VagueEpi-AA,Rigid-body,10,0.114
390,7shu,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,1,0.041
391,7shu,alphafold2,IgFold,CDR-VagueEpi-AA,Rigid-body,10,0.09
