capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
6 7rfb_A0-B0 run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ig-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-mpi-196-48 1 5 10 12 14 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-abl-Para-Epi-mpi-50-50 1 5 10 12 12 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2af2-Para-Epi-mpi-50-50 0 0 0 1 5 0 0 0 1 3 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-50-50 0 1 2 3 3 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-196-clt 1 5 7 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 3 3 4 4 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-abl-CDR-EpiVag-AA-mpi-50-50 1 4 7 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-bound-Para-Epi-mpi-50-50 1 5 10 19 19 1 5 10 19 19 1 5 10 19 19
6 7rfb_A0-B0 run-af2clens-CDR-EpiVag-AA-mpi-50-50 1 3 6 8 8 1 1 2 2 2 0 0 0 0 0
6 7rfb_A0-B0 run-abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-196-48 1 4 4 6 7 1 2 2 3 3 0 0 0 0 0
6 7rfb_A0-B0 run-igens-CDR-EpiVag-mpi-50-50 1 3 5 5 5 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-igens-Para-Epi-mpi-50-50 1 5 6 11 11 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2igens-CDR-EpiVag-mpi-50-50 1 2 3 5 5 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-Para-Epi-mpi-196-48 1 2 3 3 4 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2igens-CDR-EpiVag-AA-mpi-50-50 1 5 7 9 9 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-clens-CDR-EpiVag-AA-mpi-50-50 1 5 7 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ig-Para-Epi-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-igens-CDR-EpiVag-AA-mpi-50-50 1 5 7 10 12 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ab-Para-Epi-mpi-50-50 0 0 2 4 5 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2igens-Para-Epi-mpi-50-50 1 3 7 13 14 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-196-48 1 5 7 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-196-clt 1 4 4 6 7 1 2 2 3 3 0 0 0 0 0
6 7rfb_A0-B0 run-ens-Para-Epi-mpi-50-50 1 2 3 8 8 0 0 0 2 2 0 0 0 0 0
6 7rfb_A0-B0 run-ensnoaf2-Para-Epi-mpi-50-50 1 4 7 11 11 0 0 1 2 2 0 0 0 0 0
6 7rfb_A0-B0 run-bound-CDR-EpiVag-mpi-50-50 1 4 4 5 9 1 4 4 4 4 1 4 4 4 4
6 7rfb_A0-B0 run-af2-Para-Epi-mpi-50-50 0 0 0 2 12 0 0 0 0 1 0 0 0 0 0
6 7rfb_A0-B0 run-ens-Para-Epi-mpi-196-clt 1 5 10 13 13 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2afens-CDR-EpiVag-mpi-50-50 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2abl-Para-Epi-mpi-50-50 1 3 3 3 3 1 1 1 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-clens-Para-Epi-mpi-50-50 1 5 10 12 12 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-afens-CDR-EpiVag-mpi-50-50 0 0 0 3 3 0 0 0 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 1 4 4 4 4 0 1 1 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-af2-CDR-EpiVag-mpi-50-50 0 1 2 5 12 0 1 1 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-af2ensnoaf2-Para-Epi-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-mpi-196-48 1 5 8 13 13 0 2 3 5 5 0 0 0 0 0
6 7rfb_A0-B0 run-af2abens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-mpi-50-50 1 3 5 10 10 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ab-CDR-EpiVag-AA-mpi-50-50 0 1 1 1 3 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-abens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ab-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2afens-Para-Epi-mpi-50-50 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-abens-Para-Epi-mpi-50-50 0 2 4 6 6 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-afens-CDR-EpiVag-AA-mpi-50-50 0 1 1 2 3 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-abl-CDR-EpiVag-mpi-50-50 1 5 9 10 10 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ensnoaf2-CDR-EpiVag-mpi-50-50 1 4 5 7 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2clens-Para-Epi-mpi-50-50 1 3 6 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ig-Para-Epi-mpi-50-50 1 3 6 11 13 0 0 0 2 4 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-Para-Epi-mpi-196-clt 1 2 3 3 4 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ab-Para-Epi-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2afens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-Para-Epi-mpi-196-48 1 5 10 13 13 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-clens-CDR-EpiVag-mpi-50-50 1 5 8 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2clens-CDR-EpiVag-mpi-50-50 1 5 7 9 9 0 1 1 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-mpi-196-clt 1 5 8 13 13 0 2 3 5 5 0 0 0 0 0
6 7rfb_A0-B0 run-af2abl-CDR-EpiVag-mpi-50-50 1 5 8 13 14 0 3 5 8 8 0 0 0 0 0
6 7rfb_A0-B0 run-af2abens-Para-Epi-mpi-50-50 0 0 1 8 8 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ens-CDR-EpiVag-mpi-196-clt 1 5 10 12 14 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-afens-Para-Epi-mpi-50-50 0 2 3 5 5 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-bound-CDR-EpiVag-AA-mpi-50-50 1 5 6 6 9 1 5 6 6 6 1 5 6 6 6
6 7rfb_A0-B0 run-ig-CDR-EpiVag-mpi-50-50 0 1 5 7 9 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-CDR-EpiVag-mpi-50-50 1 3 3 3 3 0 1 1 1 1 0 0 0 0 0
6 7rfb_A0-B0 run-af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 1 6 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2abl-CDR-EpiVag-AA-mpi-50-50 1 5 5 7 7 1 3 3 4 4 0 0 0 0 0
6 7rfb_A0-B0 run-af2af2-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7rfb_A0-B0 run-af2ens-Para-Epi-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 3 6 6 6 1 1 1 1 1 1 1 1 1 1
6 7ps1_A0-B0 run-af2ig-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-ens-CDR-EpiVag-mpi-196-48 1 2 2 3 3 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-abl-Para-Epi-mpi-50-50 1 5 10 20 30 1 4 6 12 17 0 0 0 0 0
6 7ps1_A0-B0 run-af2af2-Para-Epi-mpi-50-50 1 5 10 20 36 1 5 10 16 21 0 0 0 0 0
6 7ps1_A0-B0 run-ens-CDR-EpiVag-AA-mpi-50-50 1 3 4 4 4 1 3 4 4 4 1 2 2 2 2
6 7ps1_A0-B0 run-ens-CDR-EpiVag-AA-mpi-196-clt 1 5 9 13 21 1 5 8 10 12 1 5 8 8 8
6 7ps1_A0-B0 run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 5 6 6 6 1 5 6 6 6 1 4 4 4 4
6 7ps1_A0-B0 run-abl-CDR-EpiVag-AA-mpi-50-50 1 5 6 7 7 0 2 3 3 3 0 0 0 0 0
6 7ps1_A0-B0 run-bound-Para-Epi-mpi-50-50 1 5 10 20 28 1 5 10 20 28 1 5 10 20 28
6 7ps1_A0-B0 run-af2clens-CDR-EpiVag-AA-mpi-50-50 1 5 6 6 6 1 5 6 6 6 1 3 3 3 3
6 7ps1_A0-B0 run-abens-CDR-EpiVag-AA-mpi-50-50 1 4 8 9 9 0 1 3 3 3 0 1 2 2 2
6 7ps1_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-196-48 1 5 9 15 27 1 3 5 6 7 1 3 3 3 3
6 7ps1_A0-B0 run-igens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-igens-Para-Epi-mpi-50-50 1 2 7 14 22 1 1 2 4 4 0 0 0 0 0
6 7ps1_A0-B0 run-ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2igens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 2 4 5 5 0 1 2 3 3 0 0 0 0 0
6 7ps1_A0-B0 run-af2ens-Para-Epi-mpi-196-48 1 5 10 20 45 1 5 10 20 34 0 4 8 17 18
6 7ps1_A0-B0 run-af2af2-CDR-EpiVag-AA-mpi-50-50 1 5 7 7 7 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2igens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2abens-CDR-EpiVag-AA-mpi-50-50 1 5 9 13 13 1 5 8 8 8 1 1 1 1 1
6 7ps1_A0-B0 run-clens-CDR-EpiVag-AA-mpi-50-50 1 4 6 6 6 1 3 3 3 3 1 3 3 3 3
6 7ps1_A0-B0 run-af2ig-Para-Epi-mpi-50-50 1 5 10 19 26 0 0 0 2 3 0 0 0 0 0
6 7ps1_A0-B0 run-igens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2ab-Para-Epi-mpi-50-50 1 5 10 20 32 1 5 10 20 28 0 4 7 14 20
6 7ps1_A0-B0 run-af2igens-Para-Epi-mpi-50-50 1 5 9 19 28 0 1 2 3 3 0 0 0 0 0
6 7ps1_A0-B0 run-ens-CDR-EpiVag-AA-mpi-196-48 1 5 9 13 21 1 5 8 10 12 1 5 8 8 8
6 7ps1_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-196-clt 1 5 9 15 27 1 3 5 6 7 1 3 3 3 3
6 7ps1_A0-B0 run-ens-Para-Epi-mpi-50-50 1 5 10 20 27 1 5 8 12 17 1 5 5 5 5
6 7ps1_A0-B0 run-ensnoaf2-Para-Epi-mpi-50-50 1 5 10 20 29 1 5 10 15 20 1 5 8 8 8
6 7ps1_A0-B0 run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2-Para-Epi-mpi-50-50 1 5 9 18 26 1 5 6 13 17 0 0 0 0 0
6 7ps1_A0-B0 run-ens-Para-Epi-mpi-196-clt 1 5 10 20 47 1 5 10 20 35 1 5 10 20 26
6 7ps1_A0-B0 run-af2afens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2abl-Para-Epi-mpi-50-50 1 5 10 20 33 0 2 4 9 17 0 0 0 0 0
6 7ps1_A0-B0 run-clens-Para-Epi-mpi-50-50 1 5 10 20 31 1 5 9 13 14 1 5 6 6 6
6 7ps1_A0-B0 run-afens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 7ps1_A0-B0 run-af2-CDR-EpiVag-mpi-50-50 0 1 3 3 3 0 1 1 1 1 0 0 0 0 0
6 7ps1_A0-B0 run-af2ensnoaf2-Para-Epi-mpi-50-50 1 5 10 20 25 1 4 6 8 10 1 4 4 4 4
6 7ps1_A0-B0 run-af2ens-CDR-EpiVag-mpi-196-48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
