capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
1 7q0g run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7q0i run_capri_af2_ensemble 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7pi7 run_capri_af2_ensemble 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
1 7f7e run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7n4i run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mdj run_capri_af2_ensemble 1 5 10 10 10 1 5 10 10 10 1 5 10 10 10
1 7s0b run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7qu2 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7nx3 run_capri_af2_ensemble 1 4 5 5 5 0 0 0 0 0 0 0 0 0 0
1 7lfb run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzf run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7pr0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzh run_capri_af2_ensemble 1 5 10 10 10 1 5 10 10 10 1 5 10 10 10
1 7e5o run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzm_H0-L0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7qnw run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7k9j run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7b0b_H0-L0 run_capri_af2_ensemble 1 1 3 3 3 0 0 0 0 0 0 0 0 0 0
1 7qny run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzi run_capri_af2_ensemble 0 2 2 2 2 0 0 0 0 0 0 0 0 0 0
1 7k7h_H0-L0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7r8l run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzg run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7daa run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7ps2 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7bbg_H0-L0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7si0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7e72 run_capri_af2_ensemble 1 5 10 10 10 1 5 10 10 10 0 2 3 3 3
1 7vux run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7ps4 run_capri_af2_ensemble 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
1 7l7d_H0-L0 run_capri_af2_ensemble 1 4 5 5 5 0 0 0 0 0 0 0 0 0 0
1 7bbj run_capri_af2_ensemble 1 4 4 4 4 1 4 4 4 4 0 0 0 0 0
1 7l0l_H0-L0 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7sem run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7phw run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7s11 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7np1 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7n3i run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rah run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rks run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7kn3 run_capri_af2_ensemble 1 5 10 10 10 1 5 10 10 10 1 5 10 10 10
1 7n4j run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7s13_H0-L0 run_capri_af2_ensemble 1 3 4 4 4 1 3 3 3 3 0 0 0 0 0
1 7l7r_D0-C0 run_capri_af2_ensemble 1 2 2 2 2 0 0 0 0 0 0 0 0 0 0
1 7lr4 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7lr3 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7qu1 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rk1_C0-C1 run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7rfb run_capri_af2_ensemble 1 5 10 10 10 0 1 2 2 2 0 0 0 0 0
1 7l7r run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7msq run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7mzk run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 7shz run_capri_af2_ensemble 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
