capri_step pdb run acc_top1 acc_top5 acc_top10 acc_top20 acc_top48 med_top1 med_top5 med_top10 med_top20 med_top48 high_top1 high_top5 high_top10 high_top20 high_top48
7 7rfb_A0-B0 run-af2ensnoaf2-CDR-EpiVag-AA-mpi-50-50 0 1 1 2 3 0 1 1 2 3 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-CDR-EpiVag-mpi-50-50 0 1 2 2 2 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ab-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-abl-Para-Epi-mpi-50-50 1 5 10 13 13 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2af2-Para-Epi-mpi-50-50 0 0 2 3 6 0 0 1 1 2 0 0 0 0 0
7 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-50-50 1 1 2 3 3 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ens-CDR-EpiVag-AA-mpi-196-clt 1 2 4 4 7 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ensnoaf2-CDR-EpiVag-AA-mpi-50-50 1 4 4 5 5 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-abl-CDR-EpiVag-AA-mpi-50-50 0 4 7 8 8 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-bound-Para-Epi-mpi-50-50 1 5 10 20 23 1 5 10 20 21 1 5 9 17 18
7 7rfb_A0-B0 run-af2clens-CDR-EpiVag-AA-mpi-50-50 1 2 6 6 6 1 1 2 2 2 0 0 0 0 0
7 7rfb_A0-B0 run-abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-CDR-EpiVag-mpi-50-50 1 3 4 6 7 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-Para-Epi-mpi-50-50 1 3 6 8 10 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-CDR-EpiVag-mpi-50-50 1 3 3 5 5 0 1 1 1 1 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2af2-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-CDR-EpiVag-AA-mpi-50-50 0 4 6 9 9 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2abens-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-clens-CDR-EpiVag-AA-mpi-50-50 1 5 8 8 8 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ig-Para-Epi-mpi-50-50 0 0 2 5 8 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-igens-CDR-EpiVag-AA-mpi-50-50 1 5 6 11 11 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ab-Para-Epi-mpi-50-50 0 2 4 5 5 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2igens-Para-Epi-mpi-50-50 1 5 9 14 16 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ens-CDR-EpiVag-AA-mpi-196-clt 1 3 4 4 5 0 1 2 2 2 0 0 0 0 0
7 7rfb_A0-B0 run-ens-Para-Epi-mpi-50-50 1 5 6 10 10 0 0 0 2 2 0 0 0 0 0
7 7rfb_A0-B0 run-ensnoaf2-Para-Epi-mpi-50-50 1 5 7 11 14 0 0 0 1 2 0 0 0 0 0
7 7rfb_A0-B0 run-bound-CDR-EpiVag-mpi-50-50 1 5 6 8 9 1 5 5 6 6 1 4 4 4 4
7 7rfb_A0-B0 run-af2-Para-Epi-mpi-50-50 0 0 1 1 9 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-ens-Para-Epi-mpi-196-clt 1 5 6 6 10 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2afens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2abl-Para-Epi-mpi-50-50 1 3 4 6 8 1 1 1 1 1 0 0 0 0 0
7 7rfb_A0-B0 run-clens-Para-Epi-mpi-50-50 1 5 10 13 13 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-afens-CDR-EpiVag-mpi-50-50 0 0 0 2 3 0 0 0 0 1 0 0 0 0 0
7 7rfb_A0-B0 run-af2ensnoaf2-CDR-EpiVag-mpi-50-50 1 4 6 8 8 0 2 2 3 3 0 0 0 0 0
7 7rfb_A0-B0 run-af2-CDR-EpiVag-mpi-50-50 0 3 4 4 11 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2ensnoaf2-Para-Epi-mpi-50-50 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0
7 7rfb_A0-B0 run-af2abens-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
