,pdb,rmsd,rmsd_epitope
0,7q0g,0.7050986894313667,1.1435580133911976
1,7q0i,2.4539876201114663,4.086786596557451
2,7pi7,1.4219329385262465,2.4825116093041735
3,7f7e,1.0375555860362267,0.4236197526324806
4,7n4i,1.0755212452495755,0.9712521968025384
5,7mdj,0.8598489471011098,0.3352259680121223
6,7s0b,0.7114373938423431,0.42749025877511887
7,7qu2,0.5258847904700501,0.41043769305680156
8,7nx3,1.709645064421383,2.5743381365013374
9,7lfb,17.38907804917761,5.948964252973604
10,7m3n,0.551162775543616,0.9282298679185113
11,7mzf,0.9817351448663618,1.124540168776663
13,7pr0,3.3341077908586585,0.9093749420823827
14,7mzh,0.7700428385552415,1.4895355580252405
15,7e5o,1.8135521368531105,0.5096579090265388
16,7qnw,2.423076101925366,0.2663879130266158
17,7k9j,3.276366982679184,0.5250032656147982
18,7qny,0.8315128557337212,1.0165337727151547
19,7mzi,0.7957503681949145,0.7379196561704744
20,7e9b,1.0809754772135012,1.1454607355134947
21,7r8l,0.7393699180402514,0.5147199644972603
22,7mzg,0.9077942212178786,0.5503936343791012
23,7daa,3.0718093980222023,3.162271477807215
24,7ps2,3.1843309387721233,0.40554958877826386
25,7si0,1.0206402695174823,0.5248724603259081
26,7e72,1.188570255289442,0.766844471150465
27,7or9,0.6727693831869328,0.5239019496933507
28,7vux,1.5812134615358873,1.7792119439021676
29,7ps4,0.8657104577212611,0.5207179366652349
30,7bbj,11.834096844222625,0.42486575334480614
31,7sem,2.22882396437992,1.0389618661536257
32,7phw,1.0493249539485554,0.8091679645793758
33,7s11,1.708015577566664,1.4749986741734153
34,7np1,1.3294140869356965,0.47343147132769364
35,7cj2,0.9274358539345484,0.5186980443968582
36,7n3i,0.7469273907743058,0.549763332236348
37,7rah,2.1326084932130502,1.1274049753701059
38,7n0u,0.5378734035343943,0.38071764142725856
39,7rks,0.9034237984140118,1.0952391830246953
40,7kn3,0.7812505788899272,1.3669985831392168
41,7n4j,1.1539662678498195,1.1646206406019297
43,7rco,2.691893563316483,1.5095300509718022
44,7lr4,2.201894421237824,0.958182861307061
45,7lr3,1.9868363256506814,1.0888129097771642
46,7qu1,0.8887166212211097,0.6282251854873024
47,7rfb,0.9700890862861357,1.4077532448774808
48,7l7r,2.6837239707518226,0.600085998529089
49,7pqy,1.489177122144527,0.48253389469495517
50,7msq,2.253218334391727,0.7489101677387607
51,7mzk,0.8451907414405442,0.30566644109058444
52,7shz,1.286936067014372,0.4234262877071141
53,7r89,5.565627449075084,3.470700897847892
54,7lfa,4.400566371568942,3.2014200278473535
55,7kyo,1.6479904861137593,0.49226902483341367
56,7o52,14.469247243342206,0.7528372582924527
57,7mzj,1.0546200777562784,0.872222924183048
58,7lf7,1.2388234619523837,0.18946449852401534
59,7shu,1.638064479163993,0.7702201122414745
60,7e3o,2.6254002887510204,1.5931009579172954
61,7ps6,0.828309211277105,0.23912191229295893
62,7kql,2.5796589842819215,2.495613955460485
63,7bnv,1.0158189580791872,0.5955808887245597
64,7ps1,0.5398606006742972,0.4097093680712786
65,7mrz,13.006489797066367,1.0543751326221926
66,7dk2,1.0226888020860456,0.7769135081197873
67,7seg,1.1903170579727687,0.8430462904966886
68,7so9,3.437777074571157,2.16982279754039
69,7k7h,0.8693189982730033,1.2289883792230143
70,7ps0,0.522985663515479,0.47381054966154407
71,7n3c,1.287677415926969,0.4625998082879393
72,7s4s,0.8811183908126701,0.5987553097516459
73,7kez,0.8255522959423831,0.4919193385012496
74,7n3d,0.8144755162250029,0.5042593997472602
75,7stz,2.25768882122328,0.8144453065102031
76,7kf0,0.884481948648817,0.36055947416423073
77,7kf1,0.8793884425176974,0.37075613051471135
78,7phu,1.2323547264655157,2.059458294590482
79,6xsw,1.305173444711777,1.4500515245366872
80,7s13,1.7352530395884453,0.9486557475859001
