capri_step pdb run acc_top1 acc_top2 acc_top3 acc_top4 acc_top5 med_top1 med_top2 med_top3 med_top4 med_top5 high_top1 high_top2 high_top3 high_top4 high_top5
7 7q0g run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7q0g run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7q0g run-bound-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7q0i run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7q0i run-bound-CDR-EpiVag-mpi-50-50 1 2 2 2 2 1 2 2 2 2 1 1 1 1 1
7 7q0i run-bound-CDR-EpiVag-AA-mpi-50-50 1 2 2 2 2 1 2 2 2 2 0 0 0 0 0
7 7pi7 run-bound-Para-Epi-mpi-50-50 1 1 2 2 2 1 1 2 2 2 1 1 1 1 1
7 7pi7 run-bound-CDR-EpiVag-mpi-50-50 1 1 2 2 2 1 1 2 2 2 1 1 1 1 1
7 7pi7 run-bound-CDR-EpiVag-AA-mpi-50-50 1 2 3 3 3 1 2 3 3 3 1 1 1 1 1
7 7f7e run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7f7e run-bound-CDR-EpiVag-mpi-50-50 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
7 7f7e run-bound-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
7 7n4i run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7n4i run-bound-CDR-EpiVag-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7n4i run-bound-CDR-EpiVag-AA-mpi-50-50 1 2 2 2 2 1 2 2 2 2 0 0 0 0 0
7 7mdj run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7mdj run-bound-CDR-EpiVag-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7mdj run-bound-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7s0b run-bound-Para-Epi-mpi-50-50 1 2 3 3 3 1 2 3 3 3 1 1 1 1 1
7 7s0b run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7s0b run-bound-CDR-EpiVag-AA-mpi-50-50 1 2 2 3 3 1 2 2 3 3 0 0 0 0 0
7 7qu2 run-bound-Para-Epi-mpi-50-50 1 2 2 2 2 1 2 2 2 2 1 1 1 1 1
7 7qu2 run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7qu2 run-bound-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7nx3 run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7nx3 run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7nx3 run-bound-CDR-EpiVag-AA-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7lfb run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7lfb run-bound-CDR-EpiVag-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7lfb run-bound-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7m3n run-bound-Para-Epi-mpi-50-50 1 2 2 2 2 1 2 2 2 2 1 1 1 1 1
7 7m3n run-bound-CDR-EpiVag-mpi-50-50 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0
7 7m3n run-bound-CDR-EpiVag-AA-mpi-50-50 0 0 1 1 1 0 0 1 1 1 0 0 0 0 0
7 7mzf run-bound-Para-Epi-mpi-50-50 1 2 2 3 3 1 2 2 3 3 1 1 1 1 1
7 7mzf run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7mzf run-bound-CDR-EpiVag-AA-mpi-50-50 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
7 7pr0 run-bound-Para-Epi-mpi-50-50 1 2 2 2 2 1 2 2 2 2 1 1 1 1 1
7 7pr0 run-bound-CDR-EpiVag-mpi-50-50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 7pr0 run-bound-CDR-EpiVag-AA-mpi-50-50 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1
7 7mzh run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7mzh run-bound-CDR-EpiVag-mpi-50-50 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
7 7mzh run-bound-CDR-EpiVag-AA-mpi-50-50 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0
7 7e5o run-bound-Para-Epi-mpi-50-50 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
7 7e5o run-bound-CDR-EpiVag-mpi-50-50 0 1 1 1 1 0 1 1 1 1 0 0 0 0 0
